Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
SCOR Digital Solutions,SCOR Digital Solutions,Cold,insurance,240,insurance,,http://www.scordigitalsolutions.com,http://www.linkedin.com/company/scordigitalsolutions,,,Oo,De Pere,Wisconsin,United States,54115,"Oo, De Pere, Wisconsin, United States, 54115","underwriting solutions, claims solutions, health, wellness solutions",'+33 1 58 44 70 00,,"Outlook, Microsoft Office 365, Freshdesk, Atlassian Cloud, React Redux, YouTube, Mobile Friendly, Incapsula, Google Tag Manager, WordPress.org, Linkedin Marketing Solutions, Google Analytics, Vimeo, Twitter Advertising, Cedexis Radar, Nginx, Multilingual, reCAPTCHA, Shutterstock, Varnish, Google Font API, Adobe Media Optimizer, AI",,,,,35000000,,675e5cd578d7a801b0bcc3f3,,"SCOR Digital Solutions is SCOR Life & Health's digital solutions platform. Drawing on strong technological foundations, it combines SCOR's industry-recognized expertise and data capabilities to help our clients navigate through and capitalize on the  future of underwriting and claims systems, maximizing market potential globally, driving better financial and operational performance, and delivering the best possible customer experience. 

SCOR Digital Solutions is a globally scalable, adaptable and modular underwriting and claims technology platform, combining SCOR Life & Health's core digital assets, including Velogica, VClaims, HealthTech and BeeTech.",1984,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675e30278865cd00016a04eb/picture
OneShield,OneShield,Cold,insurance,490,insurance,,http://www.oneshield.com,http://www.linkedin.com/company/oneshield,https://facebook.com/OneShieldSoftware/,https://twitter.com/oneshield,62 Forest Street,Marlborough,Massachusetts,United States,01752,"62 Forest Street, Marlborough, Massachusetts, United States, 01752","end to end, policy, billing, claims, reporting, analytics, insurance as a service, saas, business intelligence, personal, commercial, commercial lines, p, c insurance, mgas, mgus, workers compensation, insurance startups, professional liability, medical professional liability, core insurance software, policy administration systems, insurance software ecosystem, specialty insurance, software self suffiencey",'+1 774-348-1000,,"Route 53, Outlook, Hubspot, Microsoft Application Insights, Jira, Atlassian Confluence, Nginx, Hotjar, Google Tag Manager, Google Analytics, Linkedin Marketing Solutions, WordPress.org, Mobile Friendly, Bootstrap Framework, Google Font API, Remote, AI",52500000,Other,50000000,2022-01-01,67000000,,675e5cd578d7a801b0bcc3f4,7372,"OneShield provides business solutions for P&C insurers and MGAs of all sizes. 

OneShield's cloud-based and SaaS platforms include enterprise-level policy management, billing, claims, rating, relationship management, product configuration, business intelligence, and smart analytics. 

Designed specifically for personal, commercial, and specialty insurance, our solutions support over 80 lines of business. OneShield's clients, some of the world's leading insurers, benefit from optimized workflows, pre-built content, seamless upgrades, collaborative implementations, and pricing models designed to lower the total cost of ownership. 

Our global footprint includes corporate headquarters in Marlborough, MA, with additional offices throughout India.

For more information, visit www.OneShield.com.",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67593207cd67560001f21e65/picture
NSM Insurance Group,NSM Insurance Group,Cold,insurance,360,insurance,,http://www.nsminc.com,http://www.linkedin.com/company/nsm-insurance-group,https://www.facebook.com/NsmInsuranceGroupInc,https://twitter.com/nsminsurance,555 East North Lane,Conshohocken,Pennsylvania,United States,19428,"555 East North Lane, Conshohocken, Pennsylvania, United States, 19428","underwriting, program business, specialty insurance",'+1 800-970-9778,NSM Insurance Group is the nation’s leading specialty insurance provider. Discover our 25+ specialty insurance programs today.,"MessageGears, Mimecast, Marketo, iCIMS, reCAPTCHA, GoToWebinar, Linkedin Marketing Solutions, Facebook Custom Audiences, YouTube, WordPress.org, Bing Ads, Nginx, Google Font API, Google Dynamic Remarketing, Google Tag Manager, Formstack, DoubleClick, Google Custom Search, Google Analytics, Stripe, Facebook Login (Connect), ClickDimensions, Mobile Friendly, DoubleClick Conversion, Vimeo, Facebook Widget, Remote",,,,,330000000,,675e5cd578d7a801b0bcc3f5,"6331, 6411","NSM Insurance Group is a global leader in specialty insurance with more than $1.8B in premium across 25+ specialty insurance programs around the world. We know what it takes to become masters of a niche market because we've been doing it for over 34 years. We have the in-depth knowledge, experience and sustainability to build successful specialty insurance programs that meet the unique needs and risks of the industries we serve.

Our insurance specialties include classic & collector cars; student health and travel; social services and behavioral health; addiction treatment; coastal condominiums; towing and garage; trucking; sports and fitness; professional liability for contractors, architects and engineers; habitational; commercial and residential contractors; medical stop loss and managed care; staffing; and workers' compensation. 

At NSM, our number one priority is the long-term success and profit of our programs and we continue to grow through organic initiatives as well as mergers & acquisitions — tripling the business in the last five years.

If you're looking to join a team of motivated and innovative individuals who are moving the needle in specialty insurance, come #buildsuccess with NSM!",1990,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675a0d3eb29c740001af99f4/picture
AIS Info,AIS Info,Cold,insurance,1200,financial services,,http://www.aisinfo.com,http://www.linkedin.com/company/aisinfo,,,5847 San Felipe Street,Houston,Texas,United States,77057,"5847 San Felipe Street, Houston, Texas, United States, 77057","business transformation, process engineering, automation, data, predictive analytics, operations, loan administration, financial services, technology, digital, it infrastructure, application development, default servicing, litigation support, staffing, workforce optimization, banking, auto finance, mortgage servicing, insurance, telecommunications, professional services, backoffice support, robotic process automation, bankruptcy data, bankruptcy servicing",'+1 877-247-7253,,"Outlook, DNS Made Easy, Microsoft Office 365, Hubspot, Atlassian Cloud, Google Font API, Varnish, Shutterstock, Apache, Mobile Friendly, Google Analytics, WordPress.org, Google Tag Manager, AI, , Remote",,,,,38000000,,675e5cdd78d7a801b0bcc424,7380,"AIS is a professional services and technology company that reduces operating costs, improves compliance and mitigates risk through automation and highly skilled talent. Our clients see us as a strategic partner that manages the day-to-day work so they can focus on growing their business. We review processes, eliminate inefficiencies, and help your teams work smarter and faster. We build and deploy technology to automate and increase controls in your back-office. We provide specialized human resources to meet your immediate staffing needs and increase your organizational bandwidth. We equip decision makers with deep data sets and forward-thinking analytics so they can make smarter business decisions and create better customer experiences. We serve a variety of industries including banking, automotive finance, credit card, mortgage, insurance and telecommunications.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6753e45a3436db00011ab93d/picture
Heffernan Insurance Brokers,Heffernan Insurance Brokers,Cold,insurance,620,insurance,,http://www.heffins.com,http://www.linkedin.com/company/heffernan-insurance-brokers,https://www.facebook.com/Heffins,https://twitter.com/Heffernan_Ins,1350 Carlback Avenue,Walnut Creek,California,United States,94596,"1350 Carlback Avenue, Walnut Creek, California, United States, 94596","business insurance, personal insurance, financial services, employee benefits, property, casualty coverage, loss control services, human resources consulting, claims consulting, financial advising, insurance",'+1 855-700-1988,"As an agency with deep experience and knowledge, we make employee benefits simple, and we minimize surprises. Our consultative approach helps client partners and employees do more with less.","Outlook, Microsoft Office 365, Drupal, accessiBe, Sophos, Mobile Friendly, WordPress.org, UltiPro, Google Maps, Vimeo, Google Tag Manager, Bootstrap Framework, reCAPTCHA, Google Font API, Google Maps (Non Paid Users), YouTube, Apache, Google Analytics",,Private Equity,,2019-07-01,200000000,5,675e5ce678d7a802cfbc55c9,"6331, 6321","Heffernan Insurance Brokers, founded in 1988, is one of the largest independent insurance brokerage firms in the United States providing comprehensive business insurance, personal insurance, employee benefits and financial services solutions to a wide range of businesses and individuals. Headquartered in Walnut Creek, Calif., Heffernan has a nationwide presence specializing in customized solutions to serve its clients' different needs in virtually every industry. 

Heffernan has been named on the insurance industry's ‘Best Agency to Work For' list, and consistently named a ‘Top Corporate Philanthropist'.

For more information, visit www.heffins.com. License #0564249",1988,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6753397cf6491c0001a893cd/picture
Foresters Financial Services,Foresters Financial Services,Cold,insurance,490,financial services,,,http://www.linkedin.com/company/foresters-financial-services,,https://twitter.com/weareforesters,40 Wall Street,New York,New York,United States,10005,"40 Wall Street, New York, New York, United States, 10005","financial services, investments, insurance",'+1 800-828-1540,,,,,,,,,675e5ce678d7a802cfbc55cb,,n/a,1930,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6735884f698b6500018dca10/picture
Amplifon Hearing Health Care,Amplifon Hearing Health Care,Cold,insurance,240,insurance,,http://www.amplifonusa.com,http://www.linkedin.com/company/amplifonhearinghealthcare,https://www.facebook.com/amplifoncanada19/,https://twitter.com/amplifon,150 S 5th St,Minneapolis,Minnesota,United States,55402,"150 S 5th St, Minneapolis, Minnesota, United States, 55402","hearing healthcare benefits solution provider, medicare advantage hearing benefits, hearing health benefits, hearing devices, hearing health insurance, hearing services, hearing benefit solutions, hearing benefits, managed care",'+1 877-846-7074,"With Amplifon, rediscover the pleasure of hearing thanks to innovative and discreet hearing aids. Schedule a hearing test and meet the hearing experts at our clinics across Canada.","Amazon CloudFront, DNS Made Easy, Outlook, Amazon Elastic Load Balancer, Microsoft Office 365, Amazon AWS, Salesforce, Route 53, Amazon SES, SendInBlue, Amplitude, Adobe Marketing Cloud, OneTrust, Five9, Omniture (Adobe), Hubspot, Adobe CQ, MailUp, Demandware, Oracle Cloud, Salesforce Commerce Cloud, Atlassian Cloud, The Trade Desk, Zendesk, Demandware Analytics, Google Maps, Google Tag Manager, GoToWebinar, Google Dynamic Remarketing, Cedexis Radar, DoubleClick Conversion, Facebook Widget, DoubleClick, Facebook Custom Audiences, Mobile Friendly, Bing Ads, Google Font API, WordPress.org, DoubleClick Floodlight, Silverpop, Disqus, Linkedin Marketing Solutions, Adobe Media Optimizer, Vimeo, Facebook Login (Connect), Apache, RocketFuel, ResponseTap, reCAPTCHA, Iadvize, Yahoo Ad Manager Plus, AppNexus, Google Maps (Non Paid Users), ShareThis, Google AdSense, Shutterstock, Trustpilot, Adform, Backbone JS Library, Korrelate, Turn, Nielsen Display Ads (Formerly eXelate), Tapad, Google Analytics Ecommerce Tracking, Zopim, Zemanta, Google Play, Google AdWords Conversion, Google Analytics, Lotame, Qualtrics, LivePerson Monitor, Criteo, Nielsen NetRatings, Taboola, YouTube, Yahoo Analytics, PubMatic, LiveRamp, Amazon Associates, Hotjar, AdRoll, Twitter Advertising, Bootstrap Framework, greyscale - grey, Teads",393127000,Debt Financing,393127000,2023-07-01,2525234000,,675e5ce678d7a802cfbc55cc,5047,"Amplifon Hearing Health Care makes it easy for health plans to provide high-quality, affordable hearing health care to members. We do this by partnering to deliver turnkey products and services that are simple to implement and administer; customizable to meet the unique needs of your organization; and designed to add value by improving health, delivering an exceptional member experience, and lowering costs. 

Amplifon's dedication to quality and service excellence means members have access to the largest nationwide network of 5,700 clinics, a complete line of 1,700 hearing devices with the latest technology from all major brands, guided support from our knowledgeable team of Patient Care Advocates, and the industry's most comprehensive service package. As an independent provider of hearing benefit solutions, we are committed to serving the best interests of our partners and members.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6751560bc69b330001bb3877/picture
The Warranty Group,The Warranty Group,Cold,insurance,580,insurance,,http://www.thewarrantygroup.com,http://www.linkedin.com/company/the-warranty-group,https://facebook.com/thewarrantygroup,https://twitter.com/twginfo,175 W Jackson Blvd,Chicago,Illinois,United States,60604-2600,"175 W Jackson Blvd, Chicago, Illinois, United States, 60604-2600","extended service contracts, credit card, membership benefits, home warranties, administration services, reinsurance, specialty products, automotive consulting, finance, insurance training, auto insurance, automotive, financial services, insurance",'+1 312-356-3000,,"Outlook, Pardot, Microsoft Office 365, Microsoft Azure Hosting, Atlassian Cloud, Salesforce, AngularJS, Bootstrap Framework, Mobile Friendly, Google Tag Manager",,,,,18128000,2,675e5cf778d7a802cfbc5608,"6411, 6199","The Warranty Group is now part of Assurant. 

Follow Assurant for future company updates and information. Learn more about our integration and how we are improving our capabilities: http://bit.ly/2kEF2rq.",1964,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/674a46b3aeeb98000123b632/picture
Coaction Global,Coaction Global,Cold,insurance,450,insurance,,http://www.coactionspecialty.com,http://www.linkedin.com/company/coactionglobal,https://facebook.com/prosightspecialty,https://twitter.com/CoactionGlobal,412 Mount Kemble Avenue,Morristown,New Jersey,United States,07960,"412 Mount Kemble Avenue, Morristown, New Jersey, United States, 07960","specialty insurance, property, casualty insurance, film & live events insurance, professional liability insurance, liability insurance, business insurance, commercial insurance, excess casualty insurance, executive liability insurance, multiline insurance, property insurance",'+1 800-774-2755,"Coaction creates unrivaled value for customers by exceeding expectations, accomplished through a unique performance culture and desire to succeed at uncommon challenges.","Route 53, Amazon SES, Mimecast, Outlook, Amazon AWS, Atlassian Cloud, Brightcove, Zendesk, React Redux, React, reCAPTCHA, Google Analytics, Apache, Google Maps (Non Paid Users), Linkedin Marketing Solutions, Gravity Forms, Google Maps, Google Tag Manager, Mobile Friendly, WordPress.org, Workday Recruit, AI",540000030,Other,200000000,2023-09-01,300000000,,675e5cf778d7a802cfbc560d,,"Coaction Global (Coaction) is an A.M. Best ""A-"" (Excellent)-rated, property and casualty (P&C) insurance company. Founded in 2009 as ProSight Global, Coaction today is a specialty underwriter providing property, casualty, entertainment, executive liability, and multi-line coverages to U.S. customers via open brokerage and delegated underwriting authority platforms. Coaction's authentic, results-oriented culture is reflected in the company's focused approach to fulfilling individual customer needs by combining product, analytics, and underwriting capabilities with strong industry knowledge and partnerships. Through data-driven insights and collaboration, the company coacts with customers and partners to rationally manage risk for a more confident and sustainable future.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6754e9c82818db0001d8bea3/picture
Encova Insurance,Encova Insurance,Cold,insurance,810,insurance,,http://www.encova.com,http://www.linkedin.com/company/encova,https://facebook.com/EncovaInsurance/,,471 E Broad St,Columbus,Ohio,United States,43215,"471 E Broad St, Columbus, Ohio, United States, 43215",,'+1 800-876-6642,"Together, Motorists Insurance Group and BrickStreet Insurance are building a stronger future. With combined insights from decades of industry experience and expanded product offerings, we have come together to push innovation forward for our agents and policyholders.  We are now Encova Insurance.","AT&T DNS, Outlook, CloudFlare Hosting, Amazon SES, Microsoft Application Insights, The Trade Desk, Google Font API, Facebook Widget, Yahoo Ad Manager Plus, AngularJS, Yahoo Analytics, SiteScout, Google AdWords Conversion, Google Maps, Wistia, Google Analytics, Typekit, Mobile Friendly, Linkedin Marketing Solutions, Google Tag Manager, Google Maps (Non Paid Users), ASP.NET, Facebook Custom Audiences, Facebook Login (Connect)",,,,,1000000000,,675e5cf778d7a802cfbc5611,,"Encova Insurance provides commercial, auto and home insurance.

A super-regional carrier ranked in the top 25 mutual insurance companies in the United States, Encova is rated A (excellent) by AM Best, the leading provider of insurer ratings. Encova includes more than 1,100 associates writing in 27 states and Washington, D.C., premiums in excess of $1.2 billion, a surplus in excess of $2.1 billion and assets in excess of $5.1 billion. The group markets insurance solutions through more than 2,000 independent agencies in the Midwest, Northeast and South.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6754c398e2cd6c0001229cc4/picture
North American Risk Services (NARS),North American Risk Services,Cold,insurance,470,insurance,,http://www.narisk.com,http://www.linkedin.com/company/narisk,,https://twitter.com/nariskcom,240 East Central Parkway,Altamonte Springs,Florida,United States,32701,"240 East Central Parkway, Altamonte Springs, Florida, United States, 32701","insurance, claims, third party administration, workers compensation",'+1 800-315-6090,Y(Our) Claims Team - Delivering a Customized Claims Management Experience.,"Outlook, Microsoft Office 365, Hubspot, Pantheon, Varnish, Google Tag Manager, Google Font API, Nginx, Google Analytics, Mobile Friendly, CrazyEgg, WordPress.org, Basis",,,,,22537000,,675e5cf778d7a802cfbc5614,6321,"North American Risk Services, Inc. (NARS) is a premier third party claims administrator that is dedicated to producing the best possible results for our clients. Founded in 1996, we handle claims for insurers, brokerages, managing general agencies, captives, reinsurers, liquidation bureaus, self-insured funds and public entities. 

With NARS, you get the best of both worlds. We have a small company mindset and understand one size does not fit all. We offer flexibility in service and take the time to understand client needs in order to build a tailored claims administration package. Wholly owned by our senior management, our service philosophy is high touch and our clients are truly part of the NARS family. We match our largest competitors by offering a nationwide presence, a customizable claim system, high staff experience levels and sophisticated reporting and analytics. 

We handle Commercial and Personal Auto, Commercial and Residential Property, Construction Defect, General Liability, Inland Marine, Professional Liability and Worker's Compensation claims across a variety of industries. Through thoughtful and efficient claims adjustment, we make our customers whole again.",1996,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675c53aedcdc8d000151cf63/picture
NJM Insurance Group,NJM Insurance Group,Cold,insurance,2000,insurance,,http://www.njm.com,http://www.linkedin.com/company/njm-insurance-group,https://www.facebook.com/NJMInsurance/,https://twitter.com/NJMIns,301 Sullivan Way,Ewing Township,New Jersey,United States,08628,"301 Sullivan Way, Ewing Township, New Jersey, United States, 08628","auto insurance, workers compensation insurance, homeowners insurance, commercial auto insurance, renters insurance, condo insurance, commercial general liability, umbrella insurance",'+1 609-883-1300,"NJM Insurance Group provides auto, homeowners, renters, and business insurance. No Jingles or Mascots, just great insurance.","Salesforce, Route 53, Amazon SES, Rackspace MailGun, Mimecast, Outlook, Microsoft Office 365, Amazon AWS, Bluekai, Atlassian Cloud, MongoDB, Workday Recruit, Trustpilot, DoubleClick Conversion, ASP.NET, Facebook Custom Audiences, Google Dynamic Remarketing, Google Maps (Non Paid Users), Amadesa, CallRail, Facebook Widget, Bootstrap Framework, Tealium, greyscale - grey, Bing Ads, The Trade Desk, DoubleClick Floodlight, Linkedin Marketing Solutions, Google Font API, Amazon Associates, Visual Website Optimizer, Qualaroo, Ruxit, SiteCore, Google Tag Manager, Google Maps, Zencoder, Yahoo Ad Manager Plus, C3 Metrics, Google AdWords Conversion, DoubleClick, Hotjar, Google Analytics, Mobile Friendly, Google Places, Yahoo Analytics, Facebook Login (Connect), Remote, AI",,,,,3000000000,,675e5cf778d7a802cfbc5617,6321,"NJM is among the Mid-Atlantic's leading property and casualty insurers. Founded in 1913, NJM's mission is to provide value-based insurance solutions to its policyholders with the highest levels of service, integrity, and financial stewardship. The Company operates in a mutual fashion for the exclusive benefit of its policyholders. Headquartered in West Trenton, NJ, with offices in Hammonton and Parsippany, NJM employs nearly 2,500 workers.

- 2019-2023 Forbes Best In-state Employer (Ranked #11 out of 89 NJ employers in 2023)
- 2018, 2019, 2020, 2021, certified by J.D. Power for providing ""An Outstanding Auto Claims Experience"" for personal lines customers*
- 2018, 2019, & 2020 Clearsurance Customers' Choice Top Ranked Insurance Companies
- 2021 American Heart Association Gold Level Workplace Health Achievement
- 2020 American Heart Association Silver Level Workplace Health Achievement
- 2019 Forbes Best Mid-size Employers in the country

*J.D. Power Auto Claims Certification Program℠ recognition is based on successful completion of an audit, exceeding a customer experience benchmark through a survey of recent claims servicing interactions, and a Financial Strength rating. For more information, visit jdpower.com.",1913,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675ce78aa8be310001b105f4/picture
Wealth Enhancement,Wealth Enhancement,Cold,insurance,1400,financial services,,http://www.wealthenhancement.com,http://www.linkedin.com/company/wealth-enhancement,,,505 Highway 169 N,Plymouth,Minnesota,United States,55441-4677,"505 Highway 169 N, Plymouth, Minnesota, United States, 55441-4677","financial planning, investment management, tax strategies, risk management, insurance, estate planning, group retirement plan consulting, retirement income planning",'+1 800-492-1222,,"Route 53, Outlook, Amazon AWS, Facebook Conversion Tracking, Bing Ads, StatusPage IO, React, The Trade Desk, Salesforce Live Agent, Salesforce Service Cloud, Salesforce, ExactTarget, MailJet, Adobe Media Optimizer, Facebook Widget, Cedexis Radar, Adform, Evergage, DoubleClick Conversion, Facebook Custom Audiences, Wistia, Google Analytics, WordPress.org, YouTube, DoubleClick, Disqus, Google Tag Manager, Linkedin Marketing Solutions, Stripe, Vimeo, Google Dynamic Remarketing, Open AdStream (Appnexus), Mobile Friendly, Facebook Login (Connect), AI",,,,,21000000,,675e5cff78d7a801b0bcc44b,,"In 1997, four advisors sharing an office space discovered they also shared an essential belief: The financial services industry needed a new and better way to provide advice to clients—one that would help relieve stress from their clients' financial lives.

They built a firm that would deliver truly comprehensive financial guidance, all under one roof, so that clients wouldn't have to deal with the hassle of managing multiple financial relationships, making complex decisions, or coordinating disparate accounts.

That idea has evolved into what we call the Roundtable™, our team of specialists and advisors in six core areas of wealth management. We believe that this team, paired with our 3-step UniFi™ process, helps ensure your financial life is organized, comprehensive and straightforward, enabling you to make more confident decisions and be less stressed when it comes to managing your wealth.

Securities offered through LPL Financial, Member SIPC  (www.SIPC.org). Advisory services offered through Wealth Enhancement Advisory Services, a registered investment advisor. Wealth Enhancement Group and Wealth Enhancement Advisory Services are separate entities from LPL Financial.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67532044dedb7d000137e3eb/picture
CDPHP,CDPHP,Cold,insurance,1200,insurance,,http://www.cdphp.com,http://www.linkedin.com/company/cdphp,https://www.facebook.com/CDPHP/,https://twitter.com/CDPHP,500 Patroon Creek Boulevard,Albany,New York,United States,12206,"500 Patroon Creek Boulevard, Albany, New York, United States, 12206","health care, insurance, workplace wellness, health plan, notforprofit, medicare, health care reform, population health",'+1 518-641-5261,CDPHP ensures your health insurance needs are covered with our health plans.  Affordable high-quality coverage with commercial and government-sponsored plans to serve our members in New York state.,"Salesforce, Route 53, Amazon SES, SMTP.com, ExactTarget, Outlook, Microsoft Office 365, Amazon AWS, Backbone JS Library, Pardot, ADP, VueJS, WP Engine, React Redux, React, Mapbox, Typekit, Google Analytics Ecommerce Tracking, Mobile Friendly, Google Tag Manager, Wistia, Facebook Login (Connect), Facebook Widget, Bing Ads, DoubleClick Conversion, Google Analytics, Facebook Custom Audiences, SiteCore, Google Dynamic Remarketing, ASP.NET, Microsoft-IIS, DoubleClick, Google Font API, WordPress.org, Remote, Sigma, AI",,,,,2896432000,,675e5cff78d7a801b0bcc453,8000,"Founded in 1984 as a physician-founded and guided health plan, CDPHP and its affiliates currently serve members in 24 counties throughout New York with a full family of products.

CDPHP® has a unique perspective on health care coverage: A perspective that remains focused on its members' health. With a mission of offering quality health coverage at an affordable cost, CDPHP provides employers and members the ability to choose from a full spectrum of products.

CDPHP offers a range of comprehensive benefit packages to accommodate diverse member needs, including routine care, check-ups, prenatal and post-natal care, mammography, preventive screenings, and childhood immunizations.

Additionally, CDPHP members are invited to attend free wellness programs, such as yoga, nutrition, and stress management, designed to encourage a healthier lifestyle.",1984,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67543bf8474b910001c5bebc/picture
Venbrook,Venbrook,Cold,insurance,420,insurance,,http://www.venbrook.com,http://www.linkedin.com/company/venbrook,https://www.facebook.com/venbrook,https://twitter.com/venbrook?lang=en,6320 Canoga Ave,Los Angeles,California,United States,91367,"6320 Canoga Ave, Los Angeles, California, United States, 91367","property, casualty, employee benefits, difference in conditions, builders risk, primary liability, excess liability, professional liability, employment practices liability, workers compensation, surety, trade risk, personal lines, crime, cyber liability, privacy",'+1 818-598-8900,"Venbrook Group is a leading financial services firm with retail brokerage, direct, wholesale, specialty programs, and claims services.","Outlook, Pardot, Microsoft Office 365, Microsoft Azure Hosting, Pipedrive, Umbraco, Microsoft Azure, ASP.NET, Google Tag Manager, Microsoft-IIS, Google Maps (Non Paid Users), Bootstrap Framework, Google Maps, Google Font API, reCAPTCHA, Mobile Friendly, Shutterstock, Google Analytics, Remote",42000000,Debt Financing,42000000,2016-10-20,14600000,,675e5d0878d7a801b0bcc47a,6411,"Venbrook Group, LLC  (""Venbrook"")is a holding company that owns and operates a portfolio of privately held insurance organizations that are engaged in business with the four major platforms of the insurance marketplace including retail brokerage, wholesale, programs, and claims services. This structure serves as the financial/investment platform to allow for competitive advantage, greater flexibility and efficiency, strong cash flow, and capital for investments and additional business opportunities.

Venbrook caters to a national client base across myriad industries with divergent needs. Venbrook is committed to ongoing product innovation, market agility, and strength in our partnerships for risk management solutions that allow you to focus on driving your business forward.

Risk Specialties & Services:
Advisory, risk management, insurance brokers, accident & health insurance, property & casualty insurance, employee benefits, surety & title insurance, wholesale insurance, specialty programs, reinsurance, independent field adjusting, catastrophe services, and third-party claims administration",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6739f9e36a42b500019abd37/picture
Donegal Insurance Group,Donegal Insurance Group,Cold,insurance,680,insurance,,http://www.donegalgroup.com,http://www.linkedin.com/company/donegal-insurance-group,https://www.facebook.com/DonegalGroup,https://twitter.com/donegal_ins?lang=en,1195 River Road,Marietta,Pennsylvania,United States,17547,"1195 River Road, Marietta, Pennsylvania, United States, 17547","auto insurance, home insurance, business insurance",'+1 800-877-0600,"We understand the importance of protecting your home and auto, which are among the most valuable properties you own.","Amazon SES, Pardot, Atlassian Cloud, Adobe Marketing Cloud, ASP.NET, New Relic, Google Tag Manager, Hotjar, Google Font API, Bootstrap Framework, Google Analytics, Mobile Friendly, AI",,Other,,1986-08-01,960688000,1,675e5d1078d7a801b0bcc4ba,,"Our family of property and casualty insurance companies provides full lines of personal and commercial insurance products across multiple regions of the United States.

We are proud of our heritage, which spans nearly 130 years in the insurance business.",1889,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67534ad76a9ec100010439c9/picture
MAI Capital Management,MAI Capital Management,Cold,insurance,420,financial services,,http://www.mai.capital,http://www.linkedin.com/company/maicapitalmanagement,https://facebook.com/maicapitalmanagementllc,https://twitter.com/MAI_Capital_,6050 Oak Tree Blvd S,Independence,Ohio,United States,44131,"6050 Oak Tree Blvd S, Independence, Ohio, United States, 44131","succession planning, estate planning, financial planning, investing, retirement planning, tax planning, insurance, wealth management, investment management",'+1 216-920-4800,Pareto Wealth Management partnered with MAI Capital Management. Our combined firms share a client-first philosophy.,"MessageGears, Mimecast, Outlook, Microsoft Office 365, Google Cloud Hosting, Amazon AWS, ClickDimensions, Hotjar, Linkedin Marketing Solutions, Google Tag Manager, reCAPTCHA, YouTube, Nginx, WordPress.org, Bootstrap Framework, Google Font API, Gravity Forms, Mobile Friendly, IoT, SharePoint, Android, Flutter, Python, Node.js, Monday.com, AI, Basis",,Other,,2021-08-01,58500000,,675e5d1078d7a801b0bcc4bb,,"Founded on a handshake in 1973 between Arnold Palmer and legendary sports agent, Mark McCormack, MAI Capital Management was created with the sole purpose of making clients' lives easier. While many things have changed over the past 50 years, our mission as a registered investment adviser has not: we work to empower clients to simplify, protect, and grow their wealth. MAI serves the wealth management and sports & entertainment businesses, continuously expanding our clientele to include those who need specialized financial planning assistance. We are driven by a fiduciary duty to act in our clients' best interests and have developed a variety of solutions to serve the breadth of their needs. We provide financial & estate planning, investment management, tax planning & preparation, insurance & risk management, accounting & bill pay, and philanthropy advice as well as boutique services like family office or specialized solutions to people in the sports and entertainment industries.",1973,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675d3a9ae765f900012b26a3/picture
